"ndcnum","prodnme","gennme"
"71335115402","buprenorphine","Buprenorphine Hydrochloride"
"71335115403","buprenorphine","Buprenorphine Hydrochloride"
"71335116301","buprenorphine","Buprenorphine Hydrochloride"
"71335116302","buprenorphine","Buprenorphine Hydrochloride"
"71335116303","buprenorphine","Buprenorphine Hydrochloride"
"71335129601","buprenorphine-naloxone","Buprenorphine/Naloxone"
"71335185801","buprenorphine-naloxone","Buprenorphine/Naloxone"
"71335185802","buprenorphine-naloxone","Buprenorphine/Naloxone"
"76519116005","naltrexone hcl","Naltrexone Hydrochloride"
"76519117000","buprenorphine","Buprenorphine Hydrochloride"
"76519117001","buprenorphine","Buprenorphine Hydrochloride"
"76519117002","buprenorphine","Buprenorphine Hydrochloride"
"76519117003","buprenorphine","Buprenorphine Hydrochloride"
"76519117004","buprenorphine","Buprenorphine Hydrochloride"
"76519117005","buprenorphine","Buprenorphine Hydrochloride"
